Species,Strains,Multichromosomal strains,Percentage
Agrobacterium fabacearum,2,2,100.0
Agrobacterium fabrum,8,8,100.0
Agrobacterium larrymoorei,2,2,100.0
Agrobacterium radiobacter,1,1,100.0
Agrobacterium rhizogenes,3,3,100.0
Agrobacterium rubi,1,1,100.0
Agrobacterium salinitolerans,1,1,100.0
Agrobacterium tumefaciens,17,17,100.0
Agrobacterium vaccinii,2,2,100.0
Agrobacterium vitis,9,9,100.0
Azospirillum argentinense,1,1,100.0
Azospirillum brasilense,7,7,100.0
Azospirillum lipoferum,1,1,100.0
Azospirillum oryzae,1,1,100.0
Azospirillum ramasamyi,1,1,100.0
Azospirillum thermophilum,1,1,100.0
Azospirillum thiophilum,1,1,100.0
Bacillus albus,1,1,100.0
Bacillus altitudinis,9,0,0.0
Bacillus amyloliquefaciens,13,0,0.0
Bacillus anthracis,82,0,0.0
Bacillus badius,1,0,0.0
Bacillus bombysepticus,2,2,100.0
Bacillus caldolyticus,1,0,0.0
Bacillus cereus,102,12,11.76470588235294
Bacillus cytotoxicus,17,0,0.0
Bacillus glycinifermentans,1,0,0.0
Bacillus licheniformis,10,0,0.0
Bacillus luti,1,0,0.0
Bacillus methanolicus,2,0,0.0
Bacillus mycoides,42,4,9.523809523809524
Bacillus nitratireducens,1,0,0.0
Bacillus pacificus,1,0,0.0
Bacillus paralicheniformis,2,0,0.0
Bacillus paranthracis,5,0,0.0
Bacillus pseudomycoides,3,0,0.0
Bacillus pumilus,5,0,0.0
Bacillus safensis,3,0,0.0
Bacillus siamensis,2,0,0.0
Bacillus smithii,1,0,0.0
Bacillus subtilis,47,0,0.0
Bacillus thuringiensis,70,9,12.857142857142856
Bacillus thuringiensis],1,0,0.0
Bacillus toyonensis,9,1,11.11111111111111
Bacillus tropicus,6,0,0.0
Bacillus velezensis,38,1,2.631578947368421
Bacillus weihaiensis,1,0,0.0
Bacillus wiedmannii,3,1,33.33333333333333
Bradyrhizobium betae,1,0,0.0
Bradyrhizobium diazoefficiens,1,0,0.0
Bradyrhizobium elkanii,2,0,0.0
Bradyrhizobium guangdongense,2,2,100.0
Bradyrhizobium guangxiense,1,1,100.0
Bradyrhizobium guangzhouense,1,1,100.0
Bradyrhizobium japonicum,2,1,50.0
Bradyrhizobium quebecense,2,0,0.0
Bradyrhizobium septentrionale,2,0,0.0
Brucella abortus,22,22,100.0
Brucella anthropi,6,6,100.0
Brucella canis,8,8,100.0
Brucella ceti,2,2,100.0
Brucella inopinata,1,1,100.0
Brucella intermedia,1,1,100.0
Brucella melitensis,64,64,100.0
Brucella microti,1,1,100.0
Brucella ovis,1,1,100.0
Brucella pinnipedialis,3,3,100.0
Brucella pituitosa,1,1,100.0
Brucella pseudogrignonensis,2,2,100.0
Brucella suis,22,22,100.0
Burkholderia aenigmatica,1,1,100.0
Burkholderia ambifaria,8,8,100.0
Burkholderia anthina,2,2,100.0
Burkholderia arboris,1,1,100.0
Burkholderia cenocepacia,24,24,100.0
Burkholderia cepacia,17,17,100.0
Burkholderia contaminans,8,8,100.0
Burkholderia diffusa,1,1,100.0
Burkholderia dolosa,5,5,100.0
Burkholderia gladioli,9,9,100.0
Burkholderia glumae,13,13,100.0
Burkholderia humptydooensis,1,1,100.0
Burkholderia lata,3,3,100.0
Burkholderia latens,3,3,100.0
Burkholderia mallei,28,28,100.0
Burkholderia mayonis,2,2,100.0
Burkholderia metallica,1,1,100.0
Burkholderia multivorans,48,48,100.0
Burkholderia oklahomensis,5,5,100.0
Burkholderia plantarii,2,2,100.0
Burkholderia pseudomallei,126,126,100.0
Burkholderia pseudomultivorans,1,1,100.0
Burkholderia pyrrocinia,4,4,100.0
Burkholderia savannae,2,2,100.0
Burkholderia seminalis,2,2,100.0
Burkholderia stabilis,2,2,100.0
Burkholderia stagnalis,1,1,100.0
Burkholderia territorii,1,1,100.0
Burkholderia thailandensis,23,23,100.0
Burkholderia ubonensis,7,7,100.0
Burkholderia vietnamiensis,9,9,100.0
Caballeronia grimmiae,1,1,100.0
Caballeronia insecticola,1,1,100.0
Caballeronia zhejiangensis,1,1,100.0
Clostridium aceticum,1,0,0.0
Clostridium acetobutylicum,3,0,0.0
Clostridium argentinense,1,0,0.0
Clostridium aurantibutyricum,1,0,0.0
Clostridium autoethanogenum,1,0,0.0
Clostridium baratii,2,0,0.0
Clostridium beijerinckii,2,0,0.0
Clostridium bornimense,1,1,100.0
Clostridium botulinum,32,0,0.0
Clostridium butyricum,13,13,100.0
Clostridium cadaveris,1,0,0.0
Clostridium carboxidivorans,1,0,0.0
Clostridium chauvoei,1,0,0.0
Clostridium estertheticum,1,0,0.0
Clostridium felsineum,1,0,0.0
Clostridium gasigenes,1,0,0.0
Clostridium kluyveri,3,0,0.0
Clostridium novyi,1,0,0.0
Clostridium pasteurianum,1,0,0.0
Clostridium perfringens,43,0,0.0
Clostridium roseum,2,0,0.0
Clostridium saccharoperbutylacetonicum,2,0,0.0
Clostridium septicum,2,0,0.0
Clostridium sporogenes,2,0,0.0
Clostridium taeniosporum,1,0,0.0
Clostridium tetani,2,0,0.0
Clostridium tyrobutyricum,3,0,0.0
Cupriavidus basilensis,2,2,100.0
Cupriavidus campinensis,2,2,100.0
Cupriavidus gilardii,3,3,100.0
Cupriavidus malaysiensis,1,1,100.0
Cupriavidus metallidurans,7,6,85.71428571428571
Cupriavidus necator,6,6,100.0
Cupriavidus oxalaticus,4,4,100.0
Cupriavidus pauculus,3,3,100.0
Cupriavidus pinatubonensis,1,1,100.0
Cupriavidus taiwanensis,1,1,100.0
Deinococcus actinosclerus,1,0,0.0
Deinococcus deserti,1,0,0.0
Deinococcus ficus,1,1,100.0
Deinococcus geothermalis,1,1,100.0
Deinococcus gobiensis,1,0,0.0
Deinococcus peraridilitoris,1,1,100.0
Deinococcus proteolyticus,1,0,0.0
Deinococcus psychrotolerans,1,1,100.0
Deinococcus radiodurans,13,0,0.0
Deinococcus radiophilus,1,0,0.0
Deinococcus wulumuqiensis,2,1,50.0
Ensifer adhaerens,8,8,100.0
Ensifer alkalisoli,1,1,100.0
Ensifer mexicanus,1,1,100.0
Ensifer sojae,1,1,100.0
Enterococcus avium,1,0,0.0
Enterococcus casseliflavus,7,0,0.0
Enterococcus durans,5,0,0.0
Enterococcus faecalis,97,0,0.0
Enterococcus faecium,242,0,0.0
Enterococcus gallinarum,4,0,0.0
Enterococcus gilvus,1,1,100.0
Enterococcus hirae,11,0,0.0
Enterococcus innesii,1,0,0.0
Enterococcus lactis,5,0,0.0
Enterococcus mundtii,5,0,0.0
Enterococcus raffinosus,2,2,100.0
Enterococcus saigonensis,1,0,0.0
Enterococcus wangshanyuanii,1,0,0.0
Erwinia amylovora,13,0,0.0
Erwinia billingiae,2,0,0.0
Erwinia gerundensis,3,3,100.0
Erwinia persicina,3,0,0.0
Erwinia pyrifoliae,2,0,0.0
Erwinia rhapontici,4,0,0.0
Erwinia tasmaniensis,1,0,0.0
Erwinia tracheiphila,4,0,0.0
Mesorhizobium amorphae,1,1,100.0
Mesorhizobium ciceri,4,2,50.0
Mesorhizobium huakuii,1,1,100.0
Mesorhizobium japonicum,1,0,0.0
Mesorhizobium jarvisii,1,0,0.0
Mesorhizobium loti,2,0,0.0
Mesorhizobium terrae,1,0,0.0
Methylobacterium aquaticum,2,1,50.0
Methylobacterium currus,1,1,100.0
Methylobacterium indicum,1,0,0.0
Methylobacterium nodulans,1,0,0.0
Methylobacterium organophilum,1,0,0.0
Methylobacterium oryzae,1,0,0.0
Methylobacterium phyllosphaerae,1,0,0.0
Methylobacterium radiotolerans,2,2,100.0
Methylobacterium tardum,1,0,0.0
Mycobacterium avium,11,0,0.0
Mycobacterium branderi,1,1,100.0
Mycobacterium crocinum,1,0,0.0
Mycobacterium dioxanotrophicus,1,0,0.0
Mycobacterium gordonae,1,0,0.0
Mycobacterium grossiae,1,0,0.0
Mycobacterium intracellulare,21,0,0.0
Mycobacterium kansasii,3,0,0.0
Mycobacterium kubicae,1,0,0.0
Mycobacterium lentiflavum,1,0,0.0
Mycobacterium liflandii,1,0,0.0
Mycobacterium marinum,2,0,0.0
Mycobacterium marseillense,2,0,0.0
Mycobacterium pallens,1,0,0.0
Mycobacterium paragordonae,1,0,0.0
Mycobacterium paraintracellulare,1,0,0.0
Mycobacterium rufum,1,0,0.0
Mycobacterium ulcerans,4,0,0.0
Nostoc azollae',1,0,0.0
Nostoc cf.,1,0,0.0
Nostoc edaphicum,1,0,0.0
Nostoc flagelliforme,1,1,100.0
Nostoc punctiforme,1,0,0.0
Nostoc sphaeroides,2,1,50.0
Novosphingobium aromaticivorans,1,0,0.0
Novosphingobium decolorationis,1,0,0.0
Novosphingobium pentaromativorans,1,1,100.0
Novosphingobium resinovorum,1,1,100.0
Paenibacillus bovis,1,0,0.0
Paenibacillus brasilensis,1,0,0.0
Paenibacillus cellulosilyticus,1,1,100.0
Paenibacillus cellulositrophicus,1,1,100.0
Paenibacillus crassostreae,1,0,0.0
Paenibacillus durus,1,0,0.0
Paenibacillus guangzhouensis,1,0,0.0
Paenibacillus larvae,8,0,0.0
Paenibacillus lautus,1,0,0.0
Paenibacillus peoriae,2,0,0.0
Paenibacillus polymyxa,12,1,8.333333333333332
Paenibacillus rhizovicinus,1,0,0.0
Paenibacillus sonchi,1,0,0.0
Paenibacillus xylanexedens,1,0,0.0
Pantoea agglomerans,14,13,92.85714285714286
Pantoea alhagi,1,0,0.0
Pantoea ananatis,12,0,0.0
Pantoea deleyi,1,0,0.0
Pantoea dispersa,5,4,80.0
Pantoea eucalypti,1,1,100.0
Pantoea eucrina,1,0,0.0
Pantoea stewartii,2,0,0.0
Pantoea vagans,5,4,80.0
Paraburkholderia acidiphila,1,1,100.0
Paraburkholderia acidisoli,1,1,100.0
Paraburkholderia aromaticivorans,2,2,100.0
Paraburkholderia atlantica,1,1,100.0
Paraburkholderia caffeinilytica,1,1,100.0
Paraburkholderia caledonica,1,1,100.0
Paraburkholderia caribensis,6,6,100.0
Paraburkholderia dioscoreae,1,1,100.0
Paraburkholderia dokdonella,1,1,100.0
Paraburkholderia edwinii,1,1,100.0
Paraburkholderia fungorum,4,4,100.0
Paraburkholderia ginsengisoli,1,1,100.0
Paraburkholderia graminis,1,1,100.0
Paraburkholderia hospita,2,2,100.0
Paraburkholderia megapolitana,1,1,100.0
Paraburkholderia phenoliruptrix,1,1,100.0
Paraburkholderia phymatum,1,1,100.0
Paraburkholderia phytofirmans,2,2,100.0
Paraburkholderia sprentiae,1,1,100.0
Paraburkholderia terrae,3,3,100.0
Paraburkholderia terricola,1,1,100.0
Paraburkholderia tropica,1,1,100.0
Paraburkholderia xenovorans,2,2,100.0
Paracoccus aminophilus,1,0,0.0
Paracoccus aminovorans,1,1,100.0
Paracoccus contaminans,1,0,0.0
Paracoccus denitrificans,3,3,100.0
Paracoccus jeotgali,1,0,0.0
Paracoccus kondratievae,1,1,100.0
Paracoccus liaowanqingii,1,0,0.0
Paracoccus marcusii,1,0,0.0
Paracoccus pantotrophus,2,2,100.0
Paracoccus sanguinis,1,0,0.0
Paracoccus tegillarcae,1,0,0.0
Paracoccus yeei,4,0,0.0
Paracoccus zhejiangensis,1,0,0.0
Photobacterium damselae,17,17,100.0
Photobacterium gaetbulicola,1,1,100.0
Photobacterium ganghwense,1,1,100.0
Photobacterium profundum,1,1,100.0
Photobacterium toruni,1,1,100.0
Prevotella bryantii,4,4,100.0
Prevotella copri,1,0,0.0
