Superkingdom,Clade1,Clade2,Phylum,Class,Order,Family,No rank,Genome_Accession,Genus,Species,Strain,Chromosome,Replicon_1,Replicon_2,Replicon_3,Replicon_4,Replicon_5,Replicon_6,Replicon_7,Replicon_8,Replicon_9,Replicon_10,Replicon_11,Replicon_12,Replicon_13,Replicon_14,Replicon_15,Replicon_16,Replicon_17,Replicon_18,Replicon_19,Replicon_20,Replicon_21,Replicon_22,Total_length
Bacteria,,,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Azospirillaceae,,GCF_000632475.1_ASM63247v2,Azospirillum,argentinense,Az39,3064393,1901707,933960,686487,641573,163159,,,,,,,,,,,,,,,,,,7391279_total
Bacteria,,,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Azospirillaceae,,GCF_001315015.1_ASM131501v1,Azospirillum,brasilense,Sp_7,3005726,1754523,819020,645064,206714,156480,,,,,,,,,,,,,,,,,,6587527_total
Bacteria,,,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Azospirillaceae,,GCF_005222145.1_ASM522214v1,Azospirillum,brasilense,MTCC4038,3007857,1757525,824946,729311,652802,161729,,,,,,,,,,,,,,,,,,7134170_total
Bacteria,,,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Azospirillaceae,,GCF_005222165.1_ASM522216v1,Azospirillum,brasilense,MTCC4035,3007928,1930550,951667,699612,651598,361462,163663,162176,,,,,,,,,,,,,,,,7928656_total
Bacteria,,,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Azospirillaceae,,GCF_005222205.1_ASM522220v1,Azospirillum,brasilense,MTCC4039,2941886,1845095,843474,704115,667440,194238,,,,,,,,,,,,,,,,,,7196248_total
Bacteria,,,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Azospirillaceae,,GCF_008274945.1_ASM827494v1,Azospirillum,brasilense,Sp_7,2983263,1713974,851076,700012,640290,211626,,,,,,,,,,,,,,,,,,7100241_total
Bacteria,,,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Azospirillaceae,,GCF_008274965.1_ASM827496v1,Azospirillum,brasilense,Cd,3035856,1735377,866433,838259,701851,263311,,,,,,,,,,,,,,,,,,7441087_total
Bacteria,,,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Azospirillaceae,,GCF_022023855.1_ASM2202385v1,Azospirillum,brasilense,2020WEIHUA_K,2810413,2048375,863243,753426,642990,181142,71090,19138,,,,,,,,,,,,,,,,7389817_total
Bacteria,,,Proteobacteria,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,,GCF_004328865.1_ASM432886v1,Pseudoalteromonas,carrageenovora,KCTC_22325,3633318,820457,144028,,,,,,,,,,,,,,,,,,,,,4597803_total
Bacteria,,,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Brucellaceae,Brucella/Ochrobactrum group,GCF_000740135.1_ASM74013v1,Brucella,abortus,BDW,2128683,1160817,,,,,,,,,,,,,,,,,,,,,,3289500_total
Bacteria,,,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Brucellaceae,Brucella/Ochrobactrum group,GCF_000740155.1_ASM74015v1,Brucella,abortus,BER,2125180,1163338,,,,,,,,,,,,,,,,,,,,,,3288518_total
Bacteria,,,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Brucellaceae,Brucella/Ochrobactrum group,GCF_000740175.1_ASM74017v1,Brucella,abortus,NCTC_10505,2123620,1161669,,,,,,,,,,,,,,,,,,,,,,3285289_total
Bacteria,,,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Brucellaceae,Brucella/Ochrobactrum group,GCF_000740295.1_ASM74029v1,Brucella,abortus,63_75,2124677,1155633,,,,,,,,,,,,,,,,,,,,,,3280310_total
Bacteria,,,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Brucellaceae,Brucella/Ochrobactrum group,GCF_000740315.1_ASM74031v1,Brucella,abortus,BFY,2124832,1163326,,,,,,,,,,,,,,,,,,,,,,3288158_total
Bacteria,,,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Brucellaceae,Brucella/Ochrobactrum group,GCF_001043295.1_ASM104329v1,Brucella,abortus,BAB8416,2116990,1156120,,,,,,,,,,,,,,,,,,,,,,3273110_total
Bacteria,,,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Brucellaceae,Brucella/Ochrobactrum group,GCF_002262975.1_ASM226297v1,Brucella,abortus,BD,2115329,1155738,,,,,,,,,,,,,,,,,,,,,,3271067_total
Bacteria,,,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Brucellaceae,Brucella/Ochrobactrum group,GCF_002262995.1_ASM226299v1,Brucella,abortus,MC,2115221,1155647,,,,,,,,,,,,,,,,,,,,,,3270868_total
Bacteria,,,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Brucellaceae,Brucella/Ochrobactrum group,GCF_002895145.1_ASM289514v1,Brucella,abortus,CIIMS-NV-4,2124241,1162204,,,,,,,,,,,,,,,,,,,,,,3286445_total
Bacteria,,,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Brucellaceae,Brucella/Ochrobactrum group,GCF_003244395.3_ASM324439v3,Brucella,abortus,19BA,2122074,1162100,,,,,,,,,,,,,,,,,,,,,,3284174_total
