,Superkingdom,Clade1,Clade2,Phylum,Class,Order,Family,No rank,Genome_Accession,Genus,Species,Strain,Chromosome,Replicon_1,Replicon_2,Replicon_3,Replicon_4,Replicon_5,Replicon_6,Replicon_7,Replicon_8,Replicon_9,Replicon_10,Replicon_11,Replicon_12,Replicon_13,Replicon_14,Replicon_15,Replicon_16,Replicon_17,Replicon_18,Replicon_19,Replicon_20,Replicon_21,Replicon_22,Total_length
3983,Bacteria,,,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Rhizobium/Agrobacterium group,GCF_000192635.1_ASM19263v1,Agrobacterium,fabacearum,H13-3,2823930,2148289.0,601551.0,,,,,,,,,,,,,,,,,,,,,5573770_total
3984,Bacteria,,,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Rhizobium/Agrobacterium group,GCF_000971565.1_ASM97156v1,Agrobacterium,fabacearum,Ach5,2833887,2095752.0,544752.0,194264.0,,,,,,,,,,,,,,,,,,,,5668655_total
2914,Bacteria,,,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Rhizobium/Agrobacterium group,GCF_000092025.1_ASM9202v1,Agrobacterium,fabrum,C58,2841580,2075577.0,542868.0,214233.0,,,,,,,,,,,,,,,,,,,,5674258_total
3969,Bacteria,,,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Rhizobium/Agrobacterium group,GCF_003667725.1_ASM366772v1,Agrobacterium,fabrum,1D132,2907491,2013898.0,306515.0,177577.0,147633.0,,,,,,,,,,,,,,,,,,,5553114_total
3970,Bacteria,,,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Rhizobium/Agrobacterium group,GCF_003667945.1_ASM366794v1,Agrobacterium,fabrum,12D13,2853758,1998382.0,376009.0,119590.0,68578.0,,,,,,,,,,,,,,,,,,,5416317_total
3971,Bacteria,,,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Rhizobium/Agrobacterium group,GCF_016599575.1_ASM1659957v1,Agrobacterium,fabrum,GV2260,2841579,2075577.0,459022.0,173651.0,14029.0,,,,,,,,,,,,,,,,,,,5563858_total
2888,Bacteria,,,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Rhizobium/Agrobacterium group,GCF_005145045.1_ASM514504v1,Agrobacterium,larrymoorei,CFBP5473,2968843,1489484.0,404101.0,396698.0,,,,,,,,,,,,,,,,,,,,5259126_total
2889,Bacteria,,,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Rhizobium/Agrobacterium group,GCF_019355895.1_ASM1935589v1,Agrobacterium,larrymoorei,AF3.44,2968505,1690105.0,403143.0,396698.0,59309.0,,,,,,,,,,,,,,,,,,,5517760_total
3114,Bacteria,,,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Rhizobium/Agrobacterium group,GCF_000016265.1_ASM1626v1,Agrobacterium,radiobacter,K84,4005130,2650913.0,388169.0,184668.0,44420.0,,,,,,,,,,,,,,,,,,,7273300_total
164,Bacteria,,,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Rhizobium/Agrobacterium group,GCF_016864595.1_ASM1686459v1,Agrobacterium,rhizogenes,LBA9402,3958212,2005144.0,252168.0,,,,,,,,,,,,,,,,,,,,,6215524_total
165,Bacteria,,,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Rhizobium/Agrobacterium group,GCF_017584205.1_ASM1758420v1,Agrobacterium,rhizogenes,CA75/95,4026039,2584498.0,397688.0,,,,,,,,,,,,,,,,,,,,,7008225_total
166,Bacteria,,,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Rhizobium/Agrobacterium group,GCF_018138105.1_ASM1813810v1,Agrobacterium,rhizogenes,A4,4013078,2671044.0,245508.0,181745.0,,,,,,,,,,,,,,,,,,,,7111375_total
2081,Bacteria,,,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Rhizobium/Agrobacterium group,GCF_017584165.1_ASM1758416v1,Agrobacterium,rubi,W2/73,2967242,1808982.0,289141.0,179725.0,176213.0,83319.0,27826.0,,,,,,,,,,,,,,,,,5532448_total
3985,Bacteria,,,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Rhizobium/Agrobacterium group,GCF_019048945.1_ASM1904894v1,Agrobacterium,salinitolerans,DG3-1,2892374,2090657.0,521982.0,147126.0,141550.0,119390.0,110233.0,74110.0,51025.0,32563.0,,,,,,,,,,,,,,6181010_total
4422,Bacteria,,,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Rhizobium/Agrobacterium group,GCF_001713475.1_ASM171347v1,Agrobacterium,sp.,RAC06,4641140,323507.0,,,,,,,,,,,,,,,,,,,,,,4964647_total
4669,Bacteria,,,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Rhizobium/Agrobacterium group,GCF_013365515.1_ASM1336551v1,Agrobacterium,sp.,CGMCC_11546,3036316,1926885.0,302198.0,254933.0,,,,,,,,,,,,,,,,,,,,5520332_total
4671,Bacteria,,,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Rhizobium/Agrobacterium group,GCF_006970545.1_ASM697054v1,Agrobacterium,sp.,T29,3009322,2191277.0,451191.0,,,,,,,,,,,,,,,,,,,,,5651790_total
4741,Bacteria,,,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Rhizobium/Agrobacterium group,GCF_009650195.1_ASM965019v1,Agrobacterium,sp.,MA01,4593875,310891.0,132451.0,,,,,,,,,,,,,,,,,,,,,5037217_total
4951,Bacteria,,,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Rhizobium/Agrobacterium group,GCF_019355535.1_ASM1935553v1,Agrobacterium,sp.,S7/73,3051716,2096048.0,1007991.0,184677.0,18992.0,,,,,,,,,,,,,,,,,,,6359424_total
147,Bacteria,,,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Rhizobium/Agrobacterium group,GCF_002591665.3_ASM259166v3,Agrobacterium,tumefaciens,186,2943916,2212386.0,386412.0,177577.0,,,,,,,,,,,,,,,,,,,,5720291_total
148,Bacteria,,,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Rhizobium/Agrobacterium group,GCF_002943835.1_ASM294383v1,Agrobacterium,tumefaciens,1D1609,3058772,2329227.0,243381.0,187640.0,166117.0,,,,,,,,,,,,,,,,,,,5985137_total
149,Bacteria,,,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Rhizobium/Agrobacterium group,GCF_003666425.1_ASM366642v1,Agrobacterium,tumefaciens,1D1108,2799706,2106029.0,502274.0,183311.0,176213.0,,,,,,,,,,,,,,,,,,,5767533_total
151,Bacteria,,,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Rhizobium/Agrobacterium group,GCF_003666465.1_ASM366646v1,Agrobacterium,tumefaciens,15955,2766748,2095493.0,814493.0,194263.0,,,,,,,,,,,,,,,,,,,,5870997_total
152,Bacteria,,,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Rhizobium/Agrobacterium group,GCF_003667905.1_ASM366790v1,Agrobacterium,tumefaciens,12D1,3027766,2258260.0,160006.0,,,,,,,,,,,,,,,,,,,,,5446032_total
154,Bacteria,,,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Rhizobium/Agrobacterium group,GCF_005221325.1_ASM522132v1,Agrobacterium,tumefaciens,CFBP5499,2949438,2301325.0,438854.0,220025.0,158104.0,70848.0,,,,,,,,,,,,,,,,,,6138594_total
156,Bacteria,,,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Rhizobium/Agrobacterium group,GCF_005221385.1_ASM522138v1,Agrobacterium,tumefaciens,CFBP6623,3053646,2154279.0,260250.0,47742.0,,,,,,,,,,,,,,,,,,,,5515917_total
157,Bacteria,,,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Rhizobium/Agrobacterium group,GCF_005221405.1_ASM522140v1,Agrobacterium,tumefaciens,CFBP7129,2848410,2421208.0,473557.0,380853.0,189955.0,155663.0,,,,,,,,,,,,,,,,,,6469646_total
