Genome accession,Genus,Species,Strain,Replicon_1,Replicon_2,Replicon_3,Replicon_4,Replicon_5,Replicon_6,Replicon_7,Replicon_8,Replicon_9,Replicon_10,Replicon_11,Replicon_12,Replicon_13,Replicon_14,Replicon_15,Replicon_16,Replicon_17,Replicon_18,Replicon_19,Replicon_20,Replicon_21,Replicon_22,Replicon_23
GCF_000192635.1_ASM19263v1,Agrobacterium,fabacearum,H13-3,"58,81","58,5","57,42",,,,,,,,,,,,,,,,,,,,
GCF_000971565.1_ASM97156v1,Agrobacterium,fabacearum,Ach5,"58,84","58,55","57,57","54,65",,,,,,,,,,,,,,,,,,,
GCF_000092025.1_ASM9202v1,Agrobacterium,fabrum,C58,"59,38","59,28","57,33","56,67",,,,,,,,,,,,,,,,,,,
GCF_003667725.1_ASM366772v1,Agrobacterium,fabrum,1D132,"59,24","59,29","57,73","56,08","55,62",,,,,,,,,,,,,,,,,,
GCF_003667945.1_ASM366794v1,Agrobacterium,fabrum,12D13,"59,29","59,47","57,52","57,79","59,48",,,,,,,,,,,,,,,,,,
GCF_016599575.1_ASM1659957v1,Agrobacterium,fabrum,GV2260,"59,38","59,28","57,34","55,86","55,03",,,,,,,,,,,,,,,,,,
GCF_005145045.1_ASM514504v1,Agrobacterium,larrymoorei,CFBP5473,"57,56","57,04","56,21","56,07",,,,,,,,,,,,,,,,,,,
GCF_019355895.1_ASM1935589v1,Agrobacterium,larrymoorei,AF3.44,"57,56","56,76","56,19","56,07","56,54",,,,,,,,,,,,,,,,,,
GCF_000016265.1_ASM1626v1,Agrobacterium,radiobacter,K84,"60,34","59,76","57,01","58,99","53,54",,,,,,,,,,,,,,,,,,
GCF_016864595.1_ASM1686459v1,Agrobacterium,rhizogenes,LBA9402,"60,43","59,54","56,64",,,,,,,,,,,,,,,,,,,,
GCF_017584205.1_ASM1758420v1,Agrobacterium,rhizogenes,CA75/95,"60,3","59,65","57,72",,,,,,,,,,,,,,,,,,,,
GCF_018138105.1_ASM1813810v1,Agrobacterium,rhizogenes,A4,"60,34","59,8","56,79","58,45",,,,,,,,,,,,,,,,,,,
GCF_017584165.1_ASM1758416v1,Agrobacterium,rubi,W2/73,"57,7","56,88","56,64","55,95","56,07","55,29","56,21",,,,,,,,,,,,,,,,
GCF_019048945.1_ASM1904894v1,Agrobacterium,salinitolerans,DG3-1,"59,49","59,19","57,78","57,17","59,1","58,59","55,94","57,89","61,36","58,14",,,,,,,,,,,,,
GCF_001713475.1_ASM171347v1,Agrobacterium,sp.,RAC06,"61,34","57,86",,,,,,,,,,,,,,,,,,,,,
GCF_006970545.1_ASM697054v1,Agrobacterium,sp.,T29,"60,03","60,09","56,42",,,,,,,,,,,,,,,,,,,,
GCF_009650195.1_ASM965019v1,Agrobacterium,sp.,MA01,"61,37","57,56","57,22",,,,,,,,,,,,,,,,,,,,
GCF_013365515.1_ASM1336551v1,Agrobacterium,sp.,CGMCC_11546,"59,06","59,37","57,98","56,81",,,,,,,,,,,,,,,,,,,
GCF_019355535.1_ASM1935553v1,Agrobacterium,sp.,S7/73,"58,82","58,55","56,98","56,94","58,44",,,,,,,,,,,,,,,,,,
GCF_002591665.3_ASM259166v3,Agrobacterium,tumefaciens,186,"59,6","59,57","58,72","56,08",,,,,,,,,,,,,,,,,,,
GCF_002943835.1_ASM294383v1,Agrobacterium,tumefaciens,1D1609,"59,91","59,6","57,98","57,34","54,94",,,,,,,,,,,,,,,,,,
GCF_003666425.1_ASM366642v1,Agrobacterium,tumefaciens,1D1108,"58,8","58,49","57,51","58,07","56,08",,,,,,,,,,,,,,,,,,
GCF_003666465.1_ASM366646v1,Agrobacterium,tumefaciens,15955,"58,86","58,55","57,67","54,65",,,,,,,,,,,,,,,,,,,
GCF_003667905.1_ASM366790v1,Agrobacterium,tumefaciens,12D1,"59,48","59,6","59,14",,,,,,,,,,,,,,,,,,,,
GCF_005221325.1_ASM522132v1,Agrobacterium,tumefaciens,CFBP5499,"59,4","59,34","57,97","55,11","57,58","55,78",,,,,,,,,,,,,,,,,
GCF_005221385.1_ASM522138v1,Agrobacterium,tumefaciens,CFBP6623,"59,15","59,26","59,11","59,44",,,,,,,,,,,,,,,,,,,
GCF_005221405.1_ASM522140v1,Agrobacterium,tumefaciens,CFBP7129,"60,11","59,62","58,12","57,51","56,37","59,1",,,,,,,,,,,,,,,,,
GCF_005221425.1_ASM522142v1,Agrobacterium,tumefaciens,CFBP6624,"59,11","59,19","58,72",,,,,,,,,,,,,,,,,,,,
GCF_014489975.1_ASM1448997v1,Agrobacterium,tumefaciens,BIM_B-1315G,"59,47","59,57",,,,,,,,,,,,,,,,,,,,,
GCF_022760295.1_ASM2276029v1,Agrobacterium,tumefaciens,LN-1,"59,59","59,38","58,3","57,95",,,,,,,,,,,,,,,,,,,
GCF_021310975.1_ASM2131097v1,Agrobacterium,vaccinii,B19.1.4,"57,69","57,14","56,38","55,78",,,,,,,,,,,,,,,,,,,
GCF_021310995.1_ASM2131099v1,Agrobacterium,vaccinii,B7.6,"57,76","57,12","55,4",,,,,,,,,,,,,,,,,,,,
GCF_000016285.1_ASM1628v1,Agrobacterium,vitis,S4,"57,66","57,52","56,57","56,66","58,62","56,23","56,76",,,,,,,,,,,,,,,,
GCF_013426715.1_ASM1342671v1,Agrobacterium,vitis,VAT03-9,"57,76","57,58","56,06","57,8","56,66","56,47","56,9",,,,,,,,,,,,,,,,
GCF_013426735.1_ASM1342673v1,Agrobacterium,vitis,VAR06-30,"57,59","57,6","56,64","57,21","57,13","56,47","57,11",,,,,,,,,,,,,,,,
GCF_013427035.1_ASM1342703v1,Agrobacterium,vitis,VAR03-1,"57,73","57,58","56,54","59,04",,,,,,,,,,,,,,,,,,,
GCF_019797885.1_ASM1979788v1,Agrobacterium,vitis,F2/5,"57,64","57,56","56,74","57,21","59,2","58,84","57,09",,,,,,,,,,,,,,,,
GCF_021559735.1_ASM2155973v1,Agrobacterium,vitis,CG412,"57,72","57,62","56,27",,,,,,,,,,,,,,,,,,,,
GCF_021559755.1_ASM2155975v1,Agrobacterium,vitis,CG678,"57,71","57,58","56,8","57,8","56,66",,,,,,,,,,,,,,,,,,
GCF_000632475.1_ASM63247v2,Azospirillum,argentinense,Az39,"68,44","68,44","68,59","69,52","69,21","65,63",,,,,,,,,,,,,,,,,
GCF_001315015.1_ASM131501v1,Azospirillum,brasilense,Sp_7,"68,21","68,5","68,61","69,03","65,84","67,41",,,,,,,,,,,,,,,,,
GCF_005222165.1_ASM522216v1,Azospirillum,brasilense,MTCC4035,"68,7","68,4","68,85","69,12","69,77","66,64","64,76","65,55",,,,,,,,,,,,,,,
